iter	RMSE
164	4.967425795
165	4.961415321
166	4.956960806
167	4.95160503
168	4.946762082
169	4.942599906
170	4.93895696
171	4.931867843
172	4.9277215
173	4.92510022
174	4.920523557
175	4.919575107
176	4.914565139
177	4.909546135
178	4.903063094
179	4.901509447
180	4.896251339
181	4.890747843
182	4.885025193
183	4.881255442
184	4.878790731
185	4.875539038
186	4.873397631
187	4.870477406
188	4.865630851
189	4.861217935
190	4.85714828
191	4.850661075
192	4.846509187
193	4.842542217
194	4.839432777
195	4.836848393
196	4.833653331
197	4.831075381
198	4.826947442
199	4.822789603
200	4.817965696
201	4.812973141
202	4.811573766
203	4.808096341
204	4.804667249
205	4.800477969
206	4.79693137
207	4.794085229
208	4.788095786
209	4.786396109
210	4.782020586
211	4.778928382
212	4.775905397
213	4.774067851
214	4.771385718
215	4.764628923
216	4.762090162
217	4.760521889
218	4.755796043
219	4.749652672
220	4.747967308
221	4.746119202
222	4.744236587
223	4.73787975
224	4.737107239
225	4.732538257
226	4.730296292
227	4.725973881
228	4.720635154
229	4.717576684
230	4.714544579
231	4.71259158
232	4.706399722
233	4.7040034
234	4.702623319
235	4.699636158
236	4.695083162
237	4.692510141
238	4.691159437
239	4.686130106
240	4.684437147
241	4.679793135
242	4.678069386
243	4.673704195
244	4.667082041
245	4.666213426
246	4.66405544
247	4.659624292
248	4.657386885
249	4.656104731
250	4.653520349
251	4.648774001
252	4.646048383
253	4.642556657
254	4.637735208
255	4.633209398
256	4.631855345
257	4.630476989
258	4.629170452
259	4.625822311
260	4.624306933
261	4.616323747
262	4.615670819
263	4.610927985
264	4.606266456
265	4.600937566
266	4.600320073
267	4.598685581
268	4.596097205
269	4.594299719
270	4.588462426
271	4.586910107
272	4.586161334
273	4.580375434
274	4.577961056
275	4.572686022
276	4.569829887
277	4.569261107
278	4.564389562
279	4.563278512
280	4.561231211
281	4.556364584
282	4.553727387
283	4.546614416
284	4.542698994
285	4.538089901
286	4.530921695
287	4.529530577
288	4.525517623
289	4.522073159
290	4.519616226
291	4.517294742
292	4.511436568
293	4.506298421
294	4.50578221
295	4.503076014
296	4.497675223
297	4.496989653
298	4.495504816
299	4.491967115
300	4.490415441
301	4.48751105
302	4.48253315
303	4.47839786
304	4.473093119
305	4.470078338
306	4.464370615
307	4.458668142
308	4.451996634
309	4.446782013
310	4.445160589
311	4.44170229
312	4.43723073
313	4.432908822
314	4.42902306
315	4.424660808
316	4.420839345
317	4.418938314
318	4.41362028
319	4.411115279
320	4.408775008
321	4.405956288
322	4.400531445
323	4.396474626
324	4.392483155
325	4.386440317
326	4.38276374
327	4.37829088
328	4.373309947
329	4.367491841
330	4.365469168
331	4.360207431
332	4.35876114
333	4.357694245
334	4.356480305
335	4.355390888
336	4.349250778
337	4.346106401
338	4.339641787
339	4.333735104
340	4.333083564
341	4.329479272
342	4.323546819
343	4.321789912
344	4.315960698
345	4.315388534
346	4.312445265
347	4.307932671
348	4.304063717
349	4.300661021
350	4.298372759
351	4.291149995
352	4.288070088
353	4.287412125
354	4.285608623
355	4.284448031
356	4.283783693
357	4.282761903
358	4.277453416
359	4.274394763
360	4.270239078
361	4.269208097
362	4.26510501
363	4.260579481
364	4.257471378
365	4.254741025
366	4.24950478
367	4.249088163
368	4.246319854
369	4.242163492
370	4.241267385
371	4.240711814
372	4.237732858
373	4.233380757
374	4.229875197
375	4.22871506
376	4.22706886
377	4.226245691
378	4.223853757
379	4.220534662
380	4.217701453
381	4.214767969
382	4.212589253
383	4.210449955
384	4.208231359
385	4.20420142
386	4.202385621
387	4.201805756
388	4.201411152
389	4.200565291
390	4.196579697
391	4.192750593
392	4.188724441
393	4.184690639
394	4.181720492
395	4.179145033
396	4.174362635
397	4.169963104
398	4.16729265
399	4.165146059
400	4.161219436
401	4.158855226
402	4.158504054
403	4.153760312
404	4.151027737
405	4.148557801
406	4.146884026
407	4.145186766
408	4.14023073
409	4.137057018
410	4.13586236
411	4.1324304
412	4.12950192
413	4.12752332
414	4.12706435
415	4.125293315
416	4.124499831
417	4.120435466
418	4.117548751
419	4.112666707
420	4.108267102
421	4.106113013
422	4.104672736
423	4.101843428
424	4.097545081
425	4.095259239
426	4.091606726
427	4.08896025
428	4.088081923
429	4.084345258
430	4.081644415
431	4.079272052
432	4.07666676
433	4.074150493
434	4.072195668
435	4.069917737
436	4.069050849
437	4.066097991
438	4.064036761
439	4.061736637
440	4.056841197
441	4.052089979
442	4.048166014
443	4.045404596
444	4.044706263
445	4.043614547
446	4.039648796
447	4.037322517
448	4.032939876
449	4.029552228
450	4.027311279
451	4.024341166
452	4.021989252
453	4.019213111
454	4.01641725
455	4.015472648
456	4.01082215
457	4.006772955
458	4.002610469
459	4.00147257
460	3.996652064
461	3.993150851
462	3.9900345
463	3.986352146
464	3.985093784
465	3.984423368
466	3.983775697
467	3.978718595
468	3.975018144
469	3.974317422
470	3.970765281
471	3.967848402
472	3.965007221
473	3.960817497
474	3.956760962
475	3.952546584
476	3.951209354
477	3.948228463
478	3.945463618
479	3.94249699
480	3.939369222
481	3.934095285
482	3.931402857
483	3.927073362
484	3.924033831
485	3.921286991
486	3.920455316
487	3.918489308
488	3.914170985
489	3.912519012
490	3.908990384
491	3.904319983
492	3.90353731
493	3.901238967
494	3.896094117
495	3.894390589
496	3.893421816
497	3.890906622
498	3.889057653
499	3.887385281
500	3.884490417
501	3.88104628
502	3.875793915
503	3.875188713
504	3.873713585
505	3.873077
506	3.871425505
507	3.868380981
508	3.867017732
509	3.865675623
510	3.864359902
511	3.860818319
512	3.856064197
513	3.854998872
514	3.854424314
515	3.853903844
516	3.851333534
517	3.849199958
518	3.845903191
519	3.845034775
520	3.842162781
521	3.839998676
522	3.839779044
523	3.838568509
524	3.836085215
525	3.835223257
526	3.833016124
527	3.831181074
528	3.828791477
529	3.826445073
530	3.822941421
531	3.819096078
532	3.816668903
533	3.813756416
534	3.812013133
535	3.810019741
536	3.808430272
537	3.807369316
538	3.805221854
539	3.803268999
540	3.801355506
541	3.7995453
542	3.795783437
543	3.794206264
544	3.792486209
545	3.788633057
546	3.787006955
547	3.783947183
548	3.781041412
549	3.779017005
550	3.775346638
551	3.771123915
552	3.767096978
553	3.765332087
554	3.761584668
555	3.757200775
556	3.753527167
557	3.749747099
558	3.747755195
559	3.745931755
560	3.742553115
561	3.741480026
562	3.73996999
563	3.739496258
564	3.736168875
565	3.734254302
566	3.73111811
567	3.728614234
568	3.724432219
569	3.723989729
570	3.720846743
571	3.717464512
572	3.714132812
573	3.712677481
574	3.710805541
575	3.708343616
576	3.70745372
577	3.705631771
578	3.703808825
579	3.702277409
580	3.698834759
581	3.694613947
582	3.692044608
583	3.688124656
584	3.685591831
585	3.681532535
586	3.676970187
587	3.673921816
588	3.671646397
589	3.669968119
590	3.667383054
591	3.665294563
592	3.664471588
593	3.661938985
594	3.66105992
595	3.658571031
596	3.656217994
597	3.653042872
598	3.65244764
599	3.65032006
600	3.648805383
601	3.647339898
602	3.644330349
603	3.640187579
604	3.638817426
605	3.637148329
606	3.633704331
607	3.632409639
608	3.631435152
609	3.629869332
610	3.627287113
611	3.623944246
612	3.620818183
613	3.620386489
614	3.619815659
615	3.616617249
616	3.614825295
617	3.613040726
618	3.611979317
619	3.609823022
620	3.609387467
621	3.608036694
622	3.607205834
623	3.604439974
624	3.601161305
625	3.599092691
626	3.598898837
627	3.59632225
628	3.595599037
629	3.593849023
630	3.592936715
631	3.590174604
632	3.586869338
633	3.584728269
634	3.581523062
635	3.579345888
636	3.579028427
637	3.577102679
638	3.572472126
639	3.57063457
640	3.569277814
641	3.568080586
642	3.563979137
643	3.561843543
644	3.560162238
645	3.559605261
646	3.559038226
647	3.557912456
648	3.55543915
649	3.555012461
650	3.553451309
651	3.553233797
652	3.550997135
653	3.550299948
654	3.548296421
655	3.546525056
656	3.544115947
657	3.541158856
658	3.538563677
659	3.536484861
660	3.53393713
661	3.530539528
662	3.528150384
663	3.526711186
664	3.52445055
665	3.522129677
666	3.518313706
667	3.517912291
668	3.514967808
669	3.513637662
670	3.511836856
671	3.510536489
672	3.50826515
673	3.507417675
674	3.506013583
675	3.505867172
676	3.502142516
677	3.501764818
678	3.50086542
679	3.498983635
680	3.495033054
681	3.492303311
682	3.490720695
683	3.485821087
684	3.482224487
685	3.480866618
686	3.478766532
687	3.477387034
688	3.474977248
689	3.47137447
690	3.469630168
691	3.465908141
692	3.463507845
693	3.462467214
694	3.45869693
695	3.457856598
696	3.453697875
697	3.452604397
698	3.449954247
699	3.448089001
700	3.446665568
701	3.445625511
702	3.443225258
703	3.443030617
704	3.442325392
705	3.441091796
706	3.439455889
707	3.437276868
708	3.433272169
709	3.432385361
710	3.429419788
711	3.427857355
712	3.425752232
713	3.425216396
714	3.424693259
715	3.42156866
716	3.418464228
717	3.416292444
718	3.415181279
719	3.414705523
720	3.413337819
721	3.411029089
722	3.410353669
723	3.409108637
724	3.407285633
725	3.404664481
726	3.404183295
727	3.403440628
728	3.39975667
729	3.397251183
730	3.39675285
731	3.395617106
732	3.394915624
733	3.393073085
734	3.392407676
735	3.390739021
736	3.38752157
737	3.385590954
738	3.383474314
739	3.381622622
740	3.378829258
741	3.378115203
742	3.376507149
743	3.375067628
744	3.373985272
745	3.372232886
746	3.36999736
747	3.369200616
748	3.368431439
749	3.365639767
750	3.364059154
751	3.362198885
752	3.361600051
753	3.360371917
754	3.35900617
755	3.357662455
756	3.354986023
757	3.353112591
758	3.351100042
759	3.350832143
760	3.348360363
761	3.346910823
762	3.344871254
763	3.342909598
764	3.342104979
765	3.340934455
766	3.336899682
767	3.335911239
768	3.334804556
769	3.333197174
770	3.331670178
771	3.330053239
772	3.327394947
773	3.326670219
774	3.324445869
775	3.323046668
776	3.321981164
777	3.319357644
778	3.316987556
779	3.314569464
780	3.3130256
781	3.312465752
782	3.311747131
783	3.309098298
784	3.307549989
785	3.307170415
786	3.303991285
787	3.301592751
788	3.29749105
789	3.296012625
790	3.292833427
791	3.290911318
792	3.289553109
793	3.287907602
794	3.284845273
795	3.281988124
796	3.280053256
797	3.277922523
798	3.277670831
799	3.277231769
800	3.275469815
801	3.273326276
802	3.272257892
803	3.271376869
804	3.271123507
805	3.269427609
806	3.267816439
807	3.267470437
808	3.266374903
809	3.265999548
810	3.264369204
811	3.262547762
812	3.262184461
813	3.260227206
814	3.257180475
815	3.252555544
816	3.249608423
817	3.2486585
818	3.246560949
819	3.244798332
820	3.244488567
821	3.241332737
822	3.240104414
823	3.238703453
824	3.238544169
825	3.236246764
826	3.23381891
827	3.230950203
828	3.229444523
829	3.226862269
830	3.224070268
831	3.221768948
832	3.220086107
833	3.217279451
834	3.214699589
835	3.211967695
836	3.210641338
837	3.208345419
838	3.206340359
839	3.205227121
840	3.203174165
841	3.199562672
842	3.19730905
843	3.195992068
844	3.193209139
845	3.190474317
846	3.189920312
847	3.187912792
848	3.187336843
849	3.187107871
850	3.186564469
851	3.185636083
852	3.182856766
853	3.181385236
854	3.179974893
855	3.177602025
856	3.177269737
857	3.174235521
858	3.173111594
859	3.170412432
860	3.168889244
861	3.168674422
862	3.165394122
863	3.162370415
864	3.160640361
865	3.159082174
866	3.156824089
867	3.153931757
868	3.152373855
869	3.151809956
870	3.150375616
871	3.147469932
872	3.146547736
873	3.143238285
874	3.142513233
875	3.139922626
876	3.137576495
877	3.134505462
878	3.132666129
879	3.131185869
880	3.130698609
881	3.128070684
882	3.127033121
883	3.126812369
884	3.126667675
885	3.125421755
886	3.125141902
887	3.124082096
888	3.121049456
889	3.117418319
890	3.117304726
891	3.113390597
892	3.111021556
893	3.107976584
894	3.106656433
895	3.104769249
896	3.104238776
897	3.101626824
898	3.101059398
899	3.099676053
900	3.099351306
901	3.097030283
902	3.094197841
903	3.091994828
904	3.090127865
905	3.089968731
906	3.086045295
907	3.085795556
908	3.085682391
909	3.084158773
910	3.082819418
911	3.081345333
912	3.077910971
913	3.076468537
914	3.07634614
915	3.075158562
916	3.072837829
917	3.071304921
918	3.069908402
919	3.067734785
920	3.065912275
921	3.063777808
922	3.06170729
923	3.058011216
924	3.056518382
925	3.05503446
926	3.053206491
927	3.05175569
928	3.0499335
929	3.047347331
930	3.046059361
931	3.045936724
932	3.045675947
933	3.042802353
934	3.04270783
935	3.042349019
936	3.039770601
937	3.039396859
938	3.03768164
939	3.037212026
940	3.037004823
941	3.035816529
942	3.035454336
943	3.035345043
944	3.03473214
945	3.033193994
946	3.032096776
947	3.030314281
948	3.029682459
949	3.028540589
950	3.027495616
951	3.027297041
952	3.025923238
953	3.025178815
954	3.023217212
955	3.022208986
956	3.020560508
957	3.019463503
958	3.019019984
959	3.018604697
960	3.016798785
961	3.015329138
962	3.013817177
963	3.01288616
964	3.012713808
965	3.012363478
966	3.01201229
967	3.010982758
968	3.010196275
969	3.010111694
970	3.007740151
971	3.005505851
972	3.003245968
973	3.001395671
974	3.000619739
975	2.999763458
976	2.998547574
977	2.998206752
978	2.996839042
979	2.996320038
980	2.995685524
981	2.994285434
982	2.994107841
983	2.991519912
984	2.991106926
985	2.989713715
986	2.987772005
987	2.98664757
988	2.986133582
989	2.984571823
990	2.983964075
991	2.982464173
992	2.980714069
993	2.980464124
994	2.978742248
995	2.975510562
996	2.974484617
997	2.973340908
998	2.972456824
999	2.971231096
